Date,Day,Price
01-Jan-21,Fri,1901.60
31-Dec-20,Thu,1895.10
30-Dec-20,Wed,1893.40
29-Dec-20,Tue,1882.90
28-Dec-20,Mon,1880.40
24-Dec-20,Thu,1883.20
23-Dec-20,Wed,1878.10
22-Dec-20,Tue,1870.30
21-Dec-20,Mon,1882.80
18-Dec-20,Fri,1888.90
17-Dec-20,Thu,1890.40
16-Dec-20,Wed,1859.10
15-Dec-20,Tue,1855.30
14-Dec-20,Mon,1832.10
11-Dec-20,Fri,1843.60
10-Dec-20,Thu,1837.40
09-Dec-20,Wed,1838.50
08-Dec-20,Tue,1874.90
07-Dec-20,Mon,1866.00
04-Dec-20,Fri,1840.00
03-Dec-20,Thu,1841.10
02-Dec-20,Wed,1830.20
01-Dec-20,Tue,1818.90
30-Nov-20,Mon,1780.90
27-Nov-20,Fri,1788.10
26-Nov-20,Thu,1807.00
25-Nov-20,Wed,1811.20
24-Nov-20,Tue,1810.90
23-Nov-20,Mon,1837.80
20-Nov-20,Fri,1872.40
19-Nov-20,Thu,1861.50
18-Nov-20,Wed,1873.90
17-Nov-20,Tue,1885.10
16-Nov-20,Mon,1887.80
13-Nov-20,Fri,1886.20
12-Nov-20,Thu,1873.30
11-Nov-20,Wed,1861.60
10-Nov-20,Tue,1876.40
09-Nov-20,Mon,1854.40
06-Nov-20,Fri,1951.70
05-Nov-20,Thu,1946.80
04-Nov-20,Wed,1896.20
03-Nov-20,Tue,1910.40
02-Nov-20,Mon,1892.50
30-Oct-20,Fri,1879.90
29-Oct-20,Thu,1868.00
28-Oct-20,Wed,1879.20
27-Oct-20,Tue,1911.90
26-Oct-20,Mon,1905.70
23-Oct-20,Fri,1905.20
22-Oct-20,Thu,1904.60
21-Oct-20,Wed,1929.50
20-Oct-20,Tue,1915.40
19-Oct-20,Mon,1911.70
16-Oct-20,Fri,1906.40
15-Oct-20,Thu,1908.90
14-Oct-20,Wed,1907.30
13-Oct-20,Tue,1894.60
12-Oct-20,Mon,1928.90
09-Oct-20,Fri,1926.20
08-Oct-20,Thu,1895.10
07-Oct-20,Wed,1890.80
06-Oct-20,Tue,1908.80
05-Oct-20,Mon,1920.10
02-Oct-20,Fri,1907.60
01-Oct-20,Thu,1916.30
30-Sep-20,Wed,1895.50
29-Sep-20,Tue,1903.20
28-Sep-20,Mon,1882.30
25-Sep-20,Fri,1866.30
24-Sep-20,Thu,1876.90
23-Sep-20,Wed,1868.40
22-Sep-20,Tue,1907.60
21-Sep-20,Mon,1910.60
18-Sep-20,Fri,1962.10
17-Sep-20,Thu,1949.90
16-Sep-20,Wed,1970.50
15-Sep-20,Tue,1966.20
14-Sep-20,Mon,1963.70
11-Sep-20,Fri,1947.90
10-Sep-20,Thu,1964.30
09-Sep-20,Wed,1954.90
08-Sep-20,Tue,1943.20
07-Sep-20,Mon,1937.10
06-Sep-20,Sun,1940.65
04-Sep-20,Fri,1934.30
03-Sep-20,Thu,1937.80
02-Sep-20,Wed,1944.70
01-Sep-20,Tue,1978.90
31-Aug-20,Mon,1978.60
28-Aug-20,Fri,1974.90
27-Aug-20,Thu,1932.60
26-Aug-20,Wed,1952.50
25-Aug-20,Tue,1923.10
24-Aug-20,Mon,1939.20
21-Aug-20,Fri,1947.00
20-Aug-20,Thu,1946.50
19-Aug-20,Wed,1970.30
18-Aug-20,Tue,2013.10
17-Aug-20,Mon,1998.70
14-Aug-20,Fri,1949.80
13-Aug-20,Thu,1970.40
12-Aug-20,Wed,1949.00
11-Aug-20,Tue,1946.30
10-Aug-20,Mon,2039.70
07-Aug-20,Fri,2028.00
06-Aug-20,Thu,2069.40
05-Aug-20,Wed,2049.30
04-Aug-20,Tue,2021.00
03-Aug-20,Mon,1986.30
31-Jul-20,Fri,1985.90
30-Jul-20,Thu,1966.80
29-Jul-20,Wed,1976.70
28-Jul-20,Tue,1963.90
27-Jul-20,Mon,1955.40
24-Jul-20,Fri,1925.20
23-Jul-20,Thu,1917.40
22-Jul-20,Wed,1892.60
21-Jul-20,Tue,1869.60
20-Jul-20,Mon,1840.10
17-Jul-20,Fri,1833.70
16-Jul-20,Thu,1826.50
15-Jul-20,Wed,1841.60
14-Jul-20,Tue,1841.50
13-Jul-20,Mon,1843.70
10-Jul-20,Fri,1831.30
09-Jul-20,Thu,1833.50
08-Jul-20,Wed,1850.60
07-Jul-20,Tue,1834.30
06-Jul-20,Mon,1816.10
03-Jul-20,Fri,1787.60
02-Jul-20,Thu,1812.00
01-Jul-20,Wed,1801.90
30-Jun-20,Tue,1820.40
29-Jun-20,Mon,1800.10
26-Jun-20,Fri,1798.50
25-Jun-20,Thu,1788.40
24-Jun-20,Wed,1792.60
23-Jun-20,Tue,1797.10
22-Jun-20,Mon,1781.70
19-Jun-20,Fri,1768.60
18-Jun-20,Thu,1747.90
17-Jun-20,Wed,1753.40
16-Jun-20,Tue,1754.40
15-Jun-20,Mon,1744.90
12-Jun-20,Fri,1755.20
11-Jun-20,Thu,1757.60
10-Jun-20,Wed,1739.00
09-Jun-20,Tue,1740.30
08-Jun-20,Mon,1723.80
05-Jun-20,Fri,1701.90
04-Jun-20,Thu,1746.40
03-Jun-20,Wed,1723.50
02-Jun-20,Tue,1749.70
01-Jun-20,Mon,1763.70
29-May-20,Fri,1765.70
28-May-20,Thu,1742.70
27-May-20,Wed,1740.50
26-May-20,Tue,1740.50
25-May-20,Mon,1727.00
24-May-20,Sun,1730.65
22-May-20,Fri,1765.60
21-May-20,Thu,1750.40
20-May-20,Wed,1781.70
19-May-20,Tue,1773.40
18-May-20,Mon,1760.60
15-May-20,Fri,1778.70
14-May-20,Thu,1762.00
13-May-20,Wed,1737.30
12-May-20,Tue,1728.00
11-May-20,Mon,1720.90
08-May-20,Fri,1735.20
07-May-20,Thu,1743.70
06-May-20,Wed,1704.40
05-May-20,Tue,1728.00
04-May-20,Mon,1725.90
01-May-20,Fri,1712.00
30-Apr-20,Thu,1704.90
29-Apr-20,Wed,1722.40
28-Apr-20,Tue,1731.20
27-Apr-20,Mon,1731.40
24-Apr-20,Fri,1741.70
23-Apr-20,Thu,1751.00
22-Apr-20,Wed,1743.50
21-Apr-20,Tue,1692.10
20-Apr-20,Mon,1715.30
17-Apr-20,Fri,1702.70
16-Apr-20,Thu,1736.30
15-Apr-20,Wed,1744.70
14-Apr-20,Tue,1771.20
13-Apr-20,Mon,1762.70
10-Apr-20,Fri,1740.60
09-Apr-20,Thu,1753.60
08-Apr-20,Wed,1684.10
07-Apr-20,Tue,1683.70
06-Apr-20,Mon,1693.10
03-Apr-20,Fri,1646.50
02-Apr-20,Thu,1638.90
01-Apr-20,Wed,1592.50
